,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
"coefs[44,4]",0.484272,0.000515361,0.191491,0.187305,0.174526,0.482071,0.801661,138909.0,91864.8,1.0
"coefs[45,1]",1.13837,0.000488236,0.191187,0.189158,0.826999,1.13502,1.45893,154278.0,92136.9,1.00004
"coefs[45,2]",0.228786,0.000436041,0.138606,0.13228,-0.00907167,0.235227,0.445202,103698.0,83973.2,1.00002
"coefs[45,3]",-0.0107207,0.000418572,0.114577,0.105313,-0.210284,-0.00291118,0.163065,78140.3,73748.4,1.00004
"coefs[45,4]",0.399384,0.000470958,0.17361,0.17137,0.118863,0.396942,0.689066,136513.0,93502.4,1.00002
"coefs[46,1]",1.59033,0.000625434,0.22808,0.226148,1.22607,1.58492,1.97388,135169.0,89082.6,1.00001
"coefs[46,2]",0.371138,0.000513327,0.156534,0.145038,0.121682,0.367045,0.634302,94936.7,77638.3,1.00001
"coefs[46,3]",0.184519,0.00062769,0.137972,0.125135,-0.0125302,0.169692,0.432397,52176.0,61231.0,1.00004
"coefs[46,4]",0.734954,0.000640776,0.211995,0.207593,0.404457,0.724751,1.10019,114272.0,82233.8,1.00004
"coefs[47,1]",3.45889,0.0039649,0.668439,0.580794,2.57725,3.36456,4.63971,55373.8,35825.8,1.0001
"coefs[47,2]",0.389201,0.00159335,0.312789,0.264861,-0.0896327,0.3812,0.89495,57139.2,50932.0,1.00016
"coefs[47,3]",0.295033,0.00158399,0.273061,0.224956,-0.0844275,0.271601,0.755979,44515.7,42939.4,1.00003
"coefs[47,4]",1.19086,0.00358935,0.565402,0.45747,0.481611,1.10356,2.1813,56222.4,35503.1,1.00007
"coefs[48,1]",2.08512,0.00077599,0.271122,0.268024,1.65937,2.07416,2.54756,126865.0,83907.8,1.00015
"coefs[48,2]",0.0733109,0.00100036,0.232875,0.216061,-0.356736,0.105591,0.395506,58500.1,65769.8,1.00007
"coefs[48,3]",0.119205,0.000684804,0.15783,0.140366,-0.130608,0.114517,0.384133,53174.1,66139.1,1.00011
"coefs[48,4]",0.673786,0.000832992,0.250326,0.242189,0.284973,0.661593,1.10201,94268.0,77882.0,1.00002
"L_Omega[1,1]",1.0,,0.0,0.0,1.0,1.0,1.0,,,
"L_Omega[1,2]",0.0,,0.0,0.0,0.0,0.0,0.0,,,
"L_Omega[1,3]",0.0,,0.0,0.0,0.0,0.0,0.0,,,
"L_Omega[1,4]",0.0,,0.0,0.0,0.0,0.0,0.0,,,
"L_Omega[2,1]",0.131531,0.000974404,0.222645,0.229741,-0.244812,0.136292,0.490363,51954.1,72498.8,1.00003
"L_Omega[2,2]",0.964867,0.000193932,0.0464787,0.0232813,0.869169,0.982897,0.999848,67789.1,73960.0,1.00007
"L_Omega[2,3]",0.0,,0.0,0.0,0.0,0.0,0.0,,,
"L_Omega[2,4]",0.0,,0.0,0.0,0.0,0.0,0.0,,,
"L_Omega[3,1]",0.387244,0.00124659,0.231682,0.235566,-0.0228414,0.404963,0.736724,32946.0,44362.9,1.00011
"L_Omega[3,2]",0.390812,0.00167125,0.248919,0.25241,-0.0541029,0.413262,0.761506,21306.3,31687.0,1.00043
"L_Omega[3,3]",0.74724,0.00120019,0.152654,0.159182,0.465943,0.76719,0.960913,17968.6,18937.1,1.00045
"L_Omega[3,4]",0.0,,0.0,0.0,0.0,0.0,0.0,,,
"L_Omega[4,1]",0.435174,0.000555567,0.156908,0.157488,0.1576,0.447413,0.670835,78596.3,90014.3,1.00008
"L_Omega[4,2]",0.0823267,0.00108242,0.213744,0.220452,-0.266163,0.0809533,0.436275,38928.9,55848.0,1.00002
"L_Omega[4,3]",0.260168,0.00156074,0.272089,0.277236,-0.218958,0.27745,0.676023,28580.0,30895.2,1.00027
"L_Omega[4,4]",0.759905,0.000746245,0.119851,0.115249,0.5386,0.775114,0.927137,31138.8,27783.1,1.00006
tau[1],0.722605,0.000340505,0.103155,0.10015,0.568396,0.714333,0.904745,92803.6,93725.5,1.0
tau[2],0.197712,0.000323682,0.0491988,0.0477501,0.122196,0.195161,0.28234,22092.6,25750.3,1.00019
tau[3],0.157445,0.000449785,0.046665,0.0452334,0.0846427,0.155394,0.237091,10302.2,10860.6,1.00019
tau[4],0.383395,0.000260754,0.0656986,0.0640424,0.284743,0.378604,0.498743,62309.5,82583.7,1.00001
beta0[1],1.44291,0.000392023,0.127547,0.126399,1.23482,1.44223,1.65351,105970.0,96204.3,1.00003
beta0[2],0.316241,0.000227174,0.0514376,0.0508576,0.232478,0.315774,0.401308,51317.7,77642.6,1.00003
beta0[3],0.0760249,0.000238229,0.0471467,0.046871,-0.000397476,0.0756756,0.154059,39191.9,64375.7,1.00004
beta0[4],0.468991,0.000259956,0.0754134,0.0741515,0.346755,0.46818,0.594332,84283.3,90920.8,0.999995
condition_beta[1],0.297565,0.641773,19.1278,1.49731,-6.44904,0.000270767,6.62051,7827.15,5113.52,1.00062
condition_beta[2],-0.107283,0.260957,15.7393,1.48514,-6.4075,0.00158245,6.32752,30183.7,11575.0,1.00015
condition_beta[3],0.336055,0.361477,18.972,1.50672,-6.3982,0.0116194,6.61954,37936.1,13665.5,1.00038
condition_beta[4],-0.710789,0.991475,25.128,1.49256,-6.40724,-0.00205263,6.40401,15650.1,6898.15,1.00044
"Sigma[1,1]",0.532799,0.000516146,0.155306,0.142084,0.323074,0.510272,0.818564,92803.7,93725.5,1.00001
"Sigma[1,2]",0.0190902,0.000148548,0.0345872,0.0312409,-0.0349571,0.0177615,0.0775097,54095.2,80983.2,1.00004
"Sigma[1,3]",0.0443423,0.000158739,0.0320275,0.0293112,-0.0022242,0.0415416,0.101137,40079.3,70668.1,1.00005
"Sigma[1,4]",0.12428,0.000245399,0.0628138,0.0571841,0.0367182,0.116767,0.237892,67770.7,76646.7,1.00004
"Sigma[2,1]",0.0190902,0.000148548,0.0345872,0.0312409,-0.0349571,0.0177615,0.0775097,54095.2,80983.2,1.00004
"Sigma[2,2]",0.0415107,0.000125693,0.0205983,0.0183372,0.0149319,0.0380881,0.0797164,22092.6,25750.3,1.00019
"Sigma[2,3]",0.0144472,6.74708e-05,0.0109936,0.00962084,-8.18036e-05,0.0128231,0.0346242,25057.0,52716.1,1.00028
"Sigma[2,4]",0.00947571,8.61958e-05,0.0184586,0.0165515,-0.0204262,0.00938999,0.0395446,45445.3,72365.5,1.00003
"Sigma[3,1]",0.0443423,0.000158739,0.0320275,0.0293112,-0.0022242,0.0415416,0.101137,40079.3,70668.1,1.00005
"Sigma[3,2]",0.0144472,6.74708e-05,0.0109936,0.00962084,-8.18036e-05,0.0128231,0.0346242,25057.0,52716.1,1.00028
"Sigma[3,3]",0.0269665,0.000133574,0.015621,0.0137783,0.00716438,0.0241473,0.0562124,10302.2,10860.6,1.00019
"Sigma[3,4]",0.0257412,0.00010338,0.0181493,0.0163911,0.000417014,0.0236294,0.058446,29764.6,64292.8,1.00017
"Sigma[4,1]",0.12428,0.000245399,0.0628138,0.0571841,0.0367182,0.116767,0.237892,67770.7,76646.7,1.00004
"Sigma[4,2]",0.00947571,8.61958e-05,0.0184586,0.0165515,-0.0204262,0.00938999,0.0395446,45445.3,72365.5,1.00003
"Sigma[4,3]",0.0257412,0.00010338,0.0181493,0.0163911,0.000417014,0.0236294,0.058446,29764.6,64292.8,1.00017
"Sigma[4,4]",0.151308,0.000206991,0.0528554,0.0479977,0.0810786,0.143341,0.248745,62309.5,82583.7,1.0
